"coluna","codigo","descricao"
"PA_CODUNI","0310921","POLICLINICA REGIONAL DO CRATO"
"PA_CODUNI","6956963","POLICLINICA DRA MARCIA MOREIRA DE MENESES PACAJUS"
"PA_CODUNI","7051123","POLICLINICA BERNARDO FELIX DA SILVA SOBRAL"
"PA_CODUNI","7072341","POLICLINICA JOSE GILVAN LEITE SAMPAIO BREJO SANTO"
"PA_CODUNI","7376928","POLICLINICA DR SEBASTIAO LIMEIRA GUEDES ICO"
"PA_CODUNI","7398204","POLICLINICA DR JOSE CORREIA SALES CAUCAIA"
"PA_CODUNI","7403224","POLICLINICA REGIONAL DE BARBALHA JOAO PEREIRA DOS SANTOS"
"PA_CODUNI","7420501","POLICLINICA MANOEL CARLOS DE GOUVEIA IGUATU"
"PA_PROC_ID","0101010010","ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO PRIMARIA"
"PA_PROC_ID","0101010028","ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO ESPECIALIZADA"
"PA_PROC_ID","0101010036","PRATICA CORPORAL / ATIVIDADE FISICA EM GRUPO"
"PA_PROC_ID","0101010044","PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA"
"PA_PROC_ID","0101010052","TERAPIA COMUNITARIA"
"PA_PROC_ID","0101010060","DANCA CIRCULAR/BIODANCA"
"PA_PROC_ID","0101010079","YOGA"
"PA_PROC_ID","0101010087","OFICINA DE MASSAGEM/ AUTO-MASSAGEM"
"PA_PROC_ID","0101010095","PREVENCAO DA COVID-19 NAS ESCOLAS"
"PA_PROC_ID","0101010109","ATIVIDADES EDUCATIVAS DA POPULACAO SOBRE A TEMATICA DAMALARIA"
"PA_PROC_ID","0101010117","ATIVIDADE DE EDUCACAO PERMANENTE EM SAUDE DO TRABALHADOR"
"PA_PROC_ID","0101020015","ACAO COLETIVA DE APLICACAO TOPICA DE FLUOR GEL"
"PA_PROC_ID","0101020023","ACAO COLETIVA DE BOCHECHO FLUORADO"
"PA_PROC_ID","0101020031","ACAO COLETIVA DE ESCOVACAO DENTAL SUPERVISIONADA"
"PA_PROC_ID","0101020040","ACAO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLOGICA"
"PA_PROC_ID","0101020058","APLICACAO DE CARIOSTATICO (POR DENTE)"
"PA_PROC_ID","0101020066","APLICACAO DE SELANTE (POR DENTE)"
"PA_PROC_ID","0101020074","APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO)"
"PA_PROC_ID","0101020082","EVIDENCIACAO DE PLACA BACTERIANA"
"PA_PROC_ID","0101020090","SELAMENTO PROVISORIO DE CAVIDADE DENTARIA"
"PA_PROC_ID","0101020104","ORIENTACAO DE HIGIENE BUCAL"
"PA_PROC_ID","0101020112","ACAO COLETIVA DE PREVENCAO DE CANCER BUCAL"
"PA_PROC_ID","0101020120","ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS"
"PA_PROC_ID","0101030010","VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO"
"PA_PROC_ID","0101030029","VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR"
"PA_PROC_ID","0101040016","APLICACAO DE SUPLEMENTOS DE MICRONUTRIENTES"
"PA_PROC_ID","0101040024","AVALIACAO ANTROPOMETRICA"
"PA_PROC_ID","0101040032","COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)"
"PA_PROC_ID","0101040040","PASTEURIZACAO DO LEITE HUMANO (CADA 5 LITROS)"
"PA_PROC_ID","0101040059","ADMINISTRACAO DE VITAMINA A"
"PA_PROC_ID","0101040067","DISPENSACAO DE SUPLEMENTO DE FERRO"
"PA_PROC_ID","0101040075","MEDICAO DE ALTURA"
"PA_PROC_ID","0101040083","MEDICAO DE PESO"
"PA_PROC_ID","0101040091","DISPENSACAO DE SUPLEMENTO DE MICRONUTRIENTES EM PO - NUTRISUS"
"PA_PROC_ID","0101040105","DISPENSACAO DE SUPLEMENTO DE ACIDO FOLICOÃ¿"
"PA_PROC_ID","0101040113","DISPENSACAO DE SUPLEMENTO DE FERRO"
"PA_PROC_ID","0101040121","AVALIACAO DO RISCO DE INSEGURANCA ALIMENTAR"
"PA_PROC_ID","0101050011","PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA"
"PA_PROC_ID","0101050020","TERAPIA COMUNITARIA"
"PA_PROC_ID","0101050038","DANCA CIRCULAR/BIODANCA"
"PA_PROC_ID","0101050046","YOGA"
"PA_PROC_ID","0101050054","OFICINA DE MASSAGEM/ AUTO-MASSAGEM"
"PA_PROC_ID","0101050062","SESSAO DE ARTETERAPIA"
"PA_PROC_ID","0101050070","SESSAO DE MEDITACAO"
"PA_PROC_ID","0101050089","SESSAO DE MUSICOTERAPIA"
"PA_PROC_ID","0101050097","SESSAO DE ANTROPOSOFIA APLICADA A SAUDE"
"PA_PROC_ID","0101050100","SESSAO DE BIODANCA"
"PA_PROC_ID","0101050119","SESSAO DE BIOENERGETICA"
"PA_PROC_ID","0101050127","SESSAO DE CONSTELACAO FAMILIAR"
"PA_PROC_ID","0101050135","SESSAO DE DANCA CIRCULAR"
"PA_PROC_ID","0101050143","SESSAO DE TERMALISMO"
"PA_PROC_ID","0102010013","APLICACAO DE MULTA"
"PA_PROC_ID","0102010021","APLICACAO DE ADVERTENCIA"
"PA_PROC_ID","0102010030","APLICACAO DE INTERDICAO DE PRODUTO"
"PA_PROC_ID","0102010048","APLICACAO DE INTERDICAO PARCIAL / TOTAL DE ESTABELECIMENTO"
"PA_PROC_ID","0102010056","ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO"
"PA_PROC_ID","0102010064","ANALISE DE PROJETOS BASICOS DE ARQUITETURA"
"PA_PROC_ID","0102010072","CADASTRO DE ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA"
"PA_PROC_ID","0102010080","CANCELAMENTO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO DE SAUDE"
"PA_PROC_ID","0102010099","CANCELAMENTO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO EXCETO OS DE SAUDE"
"PA_PROC_ID","0102010102","COLETA DE AMOSTRA P/ ANALISE DE CONTROLE"
"PA_PROC_ID","0102010110","COLETA DE AMOSTRA P/ ANALISE FISCAL"
"PA_PROC_ID","0102010129","EMISSAO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO DE SAUDE"
"PA_PROC_ID","0102010137","EMISSAO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO EXCETO OS DE SAUDE"
"PA_PROC_ID","0102010145","INSPECAO SANITARIA DE HOSPITAIS"
"PA_PROC_ID","0102010153","INVESTIGACAO DE EVENTOS ADVERSOS E/OU QUEIXAS TECNICAS"
"PA_PROC_ID","0102010161","EXCLUSAO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA COM ATIVIDADES ENCERRADA"
"PA_PROC_ID","0102010170","INSPECAO DOS ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA"
"PA_PROC_ID","0102010188","LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA"
"PA_PROC_ID","0102010196","APROVACAO DE PROJETOS BASICOS DE ARQUITETURA"
"PA_PROC_ID","0102010200","INVESTIGACAO DE SURTOS DE DOENCAS TRANSMITIDAS POR ALIMENTOS"
"PA_PROC_ID","0102010218","INVESTIGACAO DE SURTOS DE INFECCAO EM SERVICOS DE SAUDE"
"PA_PROC_ID","0102010226","ATIVIDADE EDUCATIVA PARA A POPULACAO"
"PA_PROC_ID","0102010234","RECEBIMENTO DE DENUNCIAS/RECLAMACOES"
"PA_PROC_ID","0102010242","ATENDIMENTO A DENUNCIAS/RECLAMACOES"
"PA_PROC_ID","0102010250","CADASTRO DE HOSPITAIS"
"PA_PROC_ID","0102010269","LICENCIAMENTO SANITARIO DE HOSPITAIS"
"PA_PROC_ID","0102010277","CADASTRO DE INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS"
